"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Klara Lidén","Stockholm",1979,,,"female","Sweden","photographer,artist,performance artist,installation artist,video artist","Klara Lidén","Klara Lidén",,,,,,,,2009,2012,,,,,,,,,,"['Stockholm', 'Berlin']","[]","Klara Liden"
"Achille Funi","Ferrara",1890,"Appiano Gentile",1972,"male","Italy","painter,sculptor,scenic designer","Achille Funi","Achille Funi",,,,,,,,1940,1942,,,,,,,,,,"['Milan']","[]","Achille Funi"
"Hellen van Meene","Alkmaar",1972,,,"female","Kingdom of the Netherlands","photographer","Hellen van Meene","Hellen van Meene",,,,,,,,1996,2002,,,,,,,,,,"[]","[]","Hellen Van Meene"
"Bhupen Khakhar","Mumbai",1934,"Vadodara",2003,"male","India","painter","Bhupen Khakhar","Bhupen Khakhar",,,,,,,,1968,1990,,"India","{India:6}",,,,,,,"[]","[]","Bhupen Khakhar"
"Linder Sterling","Liverpool",1954,,,"female","United Kingdom","photographer,artist,musician,designer,performance artist","Linder Sterling","Linder Sterling",,,,,,,,2013,2013,,,,,,,,,,"[]","[]","Linder Sterling"
"Monica Bonvicini","Venice",1965,,,"female","Italy","photographer,artist,sculptor,university teacher,drawer,director","Monica Bonvicini","Monica Bonvicini",,,,,,,,1999,2009,,,,,,,,,,"['Berlin']","[]","Monica Bonvicini"
"Imran Qureshi","Hyderabad",1972,,,"male","Pakistan","painter,researcher","Imran Qureshi","Imran Qureshi",,,,,,,,2007,2007,,,,,,,,,,"[]","[]","Imran Qureshi"
"Kiki Kogelnik","Graz",1935,"Vienna",1997,"female","Austria","painter,sculptor,graphic artist","Kiki Kogelnik","Kiki Kogelnik",,,,,,,,1960,1970,,,,,,,,,,"[]","[]","Kiki Kogelnik"
"Tatiana Trouvé","Cosenza",1968,,,"female","France","painter,visual artist,installation artist","Tatiana Trouve","Tatiana Trouvé",,,,,,,,2013,2013,,,,,,,,,,"['Paris']","[]","Tatiana Trouve"
"Helen Marten","Macclesfield",1985,,,"female","United Kingdom","artist,sculptor,installation artist,video artist,silent film actor","Helen Marten","Helen Marten",,,,,,,,2014,2017,,,,,,,,,,"[]","[]","Helen Marten"
"Helen Chadwick","London",1953,"London",1996,"female","United Kingdom","photographer,artist,sculptor,conceptual artist","Helen Chadwick","Helen Chadwick",,,,,,,,1989,1990,,,,,,,,,,"[]","[]","Helen Chadwick"
"Nuno Ramos","São Paulo",1960,,,"male","Brazil","painter,installation artist,researcher","Nuno Ramos","Nuno Ramos",,,,,,,,1985,1998,,,,,,,,,,"[]","[]","Nuno Ramos"
"Sudarshan Shetty","Mangaluru",1961,,,"male","India","television producer,painter,multimedia artist,performance artist,installation artist,video artist,researcher","Sudarshan Shetty","Sudarshan Shetty",,,,,,,,2006,2013,,,,,,,,,,"[]","[]","Sudarshan Shetty"
"Susan Hiller","Tallahassee",1940,"London",2019,"female","United States of America","photographer,artist,anthropologist,multimedia artist,video artist","Susan Hiller","Susan Hiller",,,,,,,,2004,2004,,,,,,,,,,"['Great Britain', 'London']","['London:1970-2010']","Susan Hiller"
"David Goldblatt","Randfontein",1930,"Johannesburg",2018,"male","South Africa","photographer,journalist,opinion journalist,researcher,politician","David Goldblatt","David Goldblatt",,,,,,,,2003,2003,,,,,,,,,,"[]","[]","David Goldblatt"
"Anna Bella Geiger","Rio de Janeiro",1933,,,"female","Brazil","photographer,teacher,painter,sculptor,visual artist,printmaker","Anna Bella Geiger","Anna Bella Geiger",,,,,,,,1973,1996,,,,,,,,,,"[]","[]","Anna Bella Geiger"
"Geraldo de Barros","São Paulo",1923,"São Paulo",1998,"male","Brazil","photographer,painter,typographer,designer","Geraldo de Barros","Geraldo de Barros",,,,,,,,1954,1958,,,,,,,,,,"[]","[]","Geraldo De Barros"
"Laura Lima","Minas Gerais",1971,,,"female","Brazil","painter,performance artist,installation artist,video artist","Laura Lima","Laura Lima",,,,,,,,2007,2007,,,,,,,,,,"[]","[]","Laura Lima"
"Dayanita Singh","New Delhi",1961,,,"female","India","photographer,photojournalist,painter,journalist,printmaker","Dayanita Singh","Dayanita Singh",,,,,,,,2013,2015,,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"[]","[]","Dayanita Singh"
"Lee Bul","Yeongju",1964,,,"female","South Korea","sculptor,visual artist,installation artist","Lee Bul","Lee Bul",,,,,,,,2000,2004,,"Seoul, Korea","{Seoul:1},{Korea:1}",,,,,,,"[]","[]","Lee Bul"
"Paweł Althamer","Warsaw",1967,,,"male","Poland","artist,sculptor,visual artist,performance artist,installation artist,video artist,video installation artist","Paweł Althamer","Paweł Althamer",,,,,,,,2011,2014,,,,,,,,,,"['Warsaw']","[]","Paweł Althamer"
"Johann Georg Platzer","Eppan an der Weinstraße",1704,"Eppan an der Weinstraße",1761,"male","Austria","painter,sculptor,carver,drawer","Johann Georg Platzer","Johann Georg Platzer",,,,,,,,1745,1750,,,,,,,,,,"[]","[]","Johann Georg Platzer"
"Johan Thorn Prikker","The Hague",1868,"Cologne",1932,"male","Kingdom of the Netherlands","painter,sculptor,university teacher,graphic artist,stained-glass artist,designer,ceramicist,textile artist","Johan Thorn Prikker","Johan Thorn Prikker",,,,,,,,1800,1926,,,,,,,,,,"[]","[]","Johan Thorn Prikker"
"Jogen Chowdhury","Faridpur District",1939,,,"male","India","politician,painter","Jogen Chowdhury","Jogen Chowdhury",,,,,,,,1977,1986,,"Germany, India, Braunschweig","{Braunschweig:1},{Germany:1},{India:8}",,,,,,,"[]","[]","Jogen Chowdhury"
"Ahmed Mater","Abha",1979,,,"male","Saudi Arabia","physician,performance artist,installation artist,conceptual artist","Ahmed Mater","Ahmed Mater",,,,,,,,2009,2012,,"Saudi Arabia","{Saudi Arabia:2}",,,,,,,"[]","[]","Ahmed Mater"
"Gaganendranath Tagore","Kolkata",1867,"Kolkata",1938,"male","British Raj","painter,cartoonist","Gaganendranath Tagore","Gaganendranath Tagore",,,,,,,,1909,1960,,,,,,,,,,"[]","[]","Gaganendranath Tagore"
"Mariko Mori","Tokyo",1967,,,"female","Japan","photographer,television producer,sculptor,new media artist,performance artist,installation artist,video artist,conceptual artist,volleyball player,researcher","Mariko Mori","Mariko Mori",,,,,,,,1997,1998,,,,,,,,,,"['New York City', 'London', 'Tokyo']","[]","Mariko Mori"
"Franz Xaver Messerschmidt","Wiesensteig",1736,"Bratislava",1783,"male","Germany","sculptor","Franz Xaver Messerschmidt","Franz Xaver Messerschmidt",,,,,,,,1770,1783,,"Austria","{Austria:1}",,,,,,,"[]","[]","Franz Xaver Messerschmidt"
"Josiah McElheny","United States of America",1966,,,"male","United States of America","artist,sculptor,glass artist","Josiah McElheny","Josiah McElheny",,,,,,,,1994,2002,,"United States","{United States:1}",,,,,,,"['New York City']","[]","Josiah Mcelheny"
"Claude Parent","Neuilly-sur-Seine",1923,"Paris",2016,"male","France","architect,university teacher","Claude Parent","Claude Parent",,,,,,,,,,,"France, Paris","{France:25},{Paris:15}",,,,,,,"[]","[]","Claude Parent"
"Lynette Yiadom-Boakye","Greater London",1977,,,"female","United Kingdom","painter","Lynette Yiadom Boakye","Lynette Yiadom-Boakye",,,,,,,,,,,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"['London']","[]","Lynette Yiadom Boakye"
"Cao Fei","Guangzhou",1978,,,"female","People's Republic of China","photographer,artist,television producer,sculptor,installation artist,video artist","Cao Fei","Cao Fei",,,,,,,,2002,2007,,,,,,,,,,"['Beijing']","[]","Cao Fei"
"Gustav Metzger","Nuremberg",1926,"London",2017,"male","Germany","photographer,artist,painter,visual artist","Gustav Metzger","Gustav Metzger","Jewish,German",,,,"{Conceptual Art:11}","Conceptual Art:1965-2012",,1965,2012,,,,,,,,,,"['Great Britain']","[]","Gustav Metzger"
"Li Hongbo","Siping",1974,,,"male","People's Republic of China","sculptor","Li Hongbo","Li Hongbo",,,,,,,,2012,2014,,"Sydney, Australia","{Sydney:1},{Australia:1}",,,,,,,"[]","[]","Li Hongbo"
"Lynn Hershman Leeson","Cleveland",1941,,,"female","United States of America","screenwriter,photographer,artist,television producer,filmmaker,film director,film producer,visual artist,performance artist,installation artist,theorist,computer artist","Lynn Hershman Leeson","Lynn Hershman Leeson",,,,,,,,1959,2015,,,,,,,,,,"[]","[]","Lynn Hershman Leeson"
"Regina Silveira","Porto Alegre",1939,,,"female","Brazil","photographer,illustrator,exhibition curator,painter,university teacher,printmaker","Regina Silveira","Regina Silveira",,,,,,,,1939,2013,,,,,,,,,,"[]","[]","Regina Silveira"
"Nick Cave","Fulton",1959,,,"male","United States of America","writer,artist,sculptor,costume designer,fashion designer,textile artist,performance artist,sound artist,screenwriter,actor,composer,singer,pianist,singer-songwriter,musician,songwriter,film director,novelist,librettist,researcher","Nick Cave","Nick Cave",,,,,,,,2011,2011,,"IL, Chicago, United States","{United States:3},{Chicago:1},{IL:1}",,,,,,,"['Berlin']","[]","Nick Cave"
"Tatsuo Miyajima","Tokyo",1931,,2015,"male","Japan","teacher,painter,sculptor,visual artist,new media artist,performance artist,drawer,video artist,conceptual artist","Tatsuo Miyajima","Tatsuo Miyajima",,,,,,,,1996,1996,,,,,,,,,,"['Tokyo']","[]","Tatsuo Miyajima"
"Subodh Gupta","India",1964,,,"male","India","artist,painter,sculptor,film director,researcher","Subodh Gupta","Subodh Gupta",,,,,,,,2000,2016,,,,,,,,,,"[]","[]","Subodh Gupta"
"J. J. Grandville","Nancy",1803,"Vanves",1847,"male","France","illustrator,painter,caricaturist,drawer,lithographer","J.J. Grandville","J. J. Grandville",,,,,,,,1828,1835,,,,,,,,,,"['Paris']","['Paris:1823-1847']","J. J. Grandville"
"Luigi Ontani","Grizzana Morandi",1943,,,"male","Italy","painter,sculptor,performance artist,conceptual artist","Luigi Ontani","Luigi Ontani",,,,,,,,1990,2013,,,,,,,,,,"['Rome']","[]","Luigi Ontani"
"Beverly Pepper","New York City",1922,"Todi",2020,"female","United States of America","artist,painter,sculptor,land artist","Beverly Pepper","Beverly Pepper",,,,,,,,1989,2010,,,,,,,,,,"['France', 'Italy']","[]","Beverly Pepper"
"Gjon Mili","Korçë",1904,"Stamford",1984,"male","United States of America","photographer,cinematographer,film director","Gjon Mili","Gjon Mili",,,,,,,,1918,1981,,,,,,,,,,"[]","[]","Gjon Mili"
"Franz West","Vienna",1947,"Vienna",2012,"male","Austria","photographer,performing artist,sculptor,visual artist,performance artist,drawer,installation artist,conceptual artist","Franz West","Franz West",,,,,,,,1993,2012,,,,,,,,,,"['Vienna']","[]","Franz West"
"John White","London",1540,"County Cork",1593,"male","United Kingdom of Great Britain and Ireland","artist,painter,cartographer,world traveler,scientific illustrator","John White","John White",,,,,,,,1590,1590,,"Netherlands","{Netherlands:1}",,,,,,,"[]","[]","John White"
"Anthony McCall","London",1946,,,"male","United States of America","filmmaker,visual artist","Anthony McCall","Anthony McCall",,,,,,,,,,,"London, United Kingdom","{London:2},{United Kingdom:2}",,,,,,,"[]","[]","Anthony Mccall"
"Louise Lawler","Bronxville",1947,,,"female","United States of America","photographer,visual artist","Louise Lawler","Louise Lawler",,,,,,,,1984,2016,,,,,,,,,,"['New York City']","[]","Louise Lawler"
"Jiří Kolář","Protivín",1914,"Prague",2002,"male","France","writer,poet,playwright,translator,painter,graphic artist,collector,visual artist,drawer,patron of the arts,collagist","Jiří Kolář","Jiří Kolář",,,,,"{visual poetry:1}",,,1960,1999,,,,,,,,,,"['Paris']","[]","Jiri Kolar"
"Walid Raad","Chbaniye",1967,,,"male","Lebanon","photographer,television producer,performing artist,university teacher,creator,visual artist,multimedia artist,video artist","Walid Raad","Walid Raad",,,,,,,,1959,2011,,"Lebanon","{Lebanon:6}",,,,,,,"['New York City']","[]","Walid Raad"
"Ugo Rondinone","Brunnen",1962,,,"male","Switzerland","photographer,painter,sculptor,visual artist,multimedia artist,video artist,conceptual artist","Ugo Rondinone","Ugo Rondinone",,,,,,,,2003,2012,,"London, United Kingdom","{London:2},{United Kingdom:2}",,,,,,,"['Zürich', 'New York City']","[]","Ugo Rondinone"
"Carlo Levi","Turin",1902,"Rome",1975,"male","Italy","screenwriter,writer,physician,politician,physician writer,painter,journalist","Carlo Levi","Carlo Levi",,,,,,,,1923,1932,,,,,,,,,,"['France', 'Rome']","[]","Carlo Levi"
"Patricia Piccinini","Freetown",1965,,,"female","Australia","photographer,artist,sculptor","Patricia Piccinini","Patricia Piccinini",,,,,,,,2002,2008,,,,,,,,,,"['Sydney']","[]","Patricia Piccinini"
"Adel Abdessemed","Constantine",1971,,,"male","France","photographer,painter,sculptor,scenographer,visual artist,drawer","Adel Abdessemed","Adel Abdessemed",,,,,,,"{Conceptual art:1},{Contemporary art:1}",2006,2013,,"Algeria","{Algeria:4}",,,,,,,"[]","[]","Adel Abdessemed"
"Tomie Ohtake","Kyoto",1913,"São Paulo",2015,"female","Brazil","artist,painter,sculptor","Tomie Ohtake","Tomie Ohtake",,,,,,,,1913,2015,,,,,,,,,,"[]","[]","Tomie Ohtake"
"Bruce Davidson","Rome",1949,,,"male","United States of America","event rider,photographer,economist,artist,photojournalist,camera operator,filmmaker,politician,Australian rules football player,researcher,equestrian","Bruce Davidson","Bruce Davidson",,,,,,,,1966,1966,,"New York City, Harlem","{Harlem:1},{New York City:1}",,,,,,,"['Paris', 'New York City']","[]","Bruce Davidson"
"Gillian Wearing","Birmingham",1963,,,"female","United Kingdom","photographer,artist,television producer,sculptor,film director,visual artist,video artist,conceptual artist","Gillian Wearing","Gillian Wearing",,,,,,,,1994,1994,,,,,,,,,,"['London']","[]","Gillian Wearing"
"Jitish Kallat","Mumbai",1974,,,"male","India","artist,painter","Jitish Kallat","Jitish Kallat",,,,,,,,2005,2011,,,,,,,,,,"[]","[]","Jitish Kallat"
"Elizabeth Catlett","Washington, D.C.",1915,"Cuernavaca",2012,"female","United States of America","teacher,illustrator,painter,sculptor,printmaker,art educator","Elizabeth Catlett","Elizabeth Catlett",,,,,,,,1990,2002,,,,,,,,,,"['New York City', 'Mexico City', 'Iowa', 'New Orleans']","[]","Elizabeth Catlett"
"Valie Export","Linz",1940,,,"female","Austria","screenwriter,photographer,television producer,photojournalist,painter,sculptor,filmmaker,university teacher,film director,visual artist,multimedia artist,new media artist,performance artist,installation artist,video artist","VALIE EXPORT","Valie Export",,,,,,,,1968,2011,,,,,,,,,,"['Vienna', 'Cologne']","[]","Valie Export"
"Günter Brus","Ardning",1938,"Graz",2024,"male","Austria","photographer,writer,poet,artist,painter,graphic artist,film director,visual artist,performance artist,drawer","Günter Brus","Günter Brus",,,,,,,,1965,1965,,,,,,,,,,"[]","[]","Gunter Brus"
"Tunga","Palmares",1952,"Rio de Janeiro",2016,"male","Brazil","sculptor,performance artist,conceptual artist","Tunga","Tunga",,,,,,,,1989,1989,,,,,,,,,,"[]","[]","Tunga"
"Zeng Fanzhi","Wuhan",1964,,,"male","People's Republic of China","painter","Zeng Fanzhi","Zeng Fanzhi",,,,,,,,1996,2016,,,,,,,,,,"['Beijing']","[]","Zeng Fanzhi"
"Carl Andre","Quincy",1935,"New York City",2024,"male","United States of America","writer,poet,artist,illustrator,painter,sculptor,visual artist,sports journalist,drawer,land artist","CARL ANDRE","Carl Andre",,,,,,,,1975,2008,,,,,,,,,,"['New York City']","[]","Carl Andre"
"Zhan Wang","Beijing",1962,,2000,"male","People's Republic of China","sculptor,botanist,researcher,film actor,dub actor","Zhan Wang","Zhan Wang",,,,,,,,2005,2014,,,,,,,,,,"[]","[]","Zhan Wang"
"Coosje van Bruggen","Groningen",1942,"Los Angeles",2009,"female","United States of America","curator,sculptor,art historian,art critic","Coosje Van Bruggen","Coosje van Bruggen",,,,,,,,,,,"Venice","{Venice:2}",,,,,,,"['Amsterdam', 'Enschede', 'New York City']","['Amsterdam:1967-1971', 'Enschede:1971-1976', 'New York City:1978-1978']","Coosje Van Bruggen"
"Tom Wesselmann","Cincinnati",1931,"New York City",2004,"male","United States of America","painter,sculptor,visual artist,printmaker,drawer,lithographer","Tom Wesselmann","Tom Wesselmann",,,,,,,,1968,1970,,"New York, United States","{New York:3},{United States:3}",,,,,,,"['New York City', 'Cincinnati']","[]","Tom Wesselmann"
"Douglas Gordon","Glasgow",1966,"Winchester",1998,"male","United Kingdom","photographer,artist,painter,sculptor,filmmaker,film director,new media artist,printmaker,video artist,conceptual artist,video installation artist,screenwriter,film producer,director,producer,diplomat,aristocrat,archaeologist","Douglas Gordon","Douglas Gordon",,,,,,,,1993,2011,,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"['London', 'Glasgow']","[]","Douglas Gordon"
"Luciano Fabro","Turin",1936,"Milan",2007,"male","Italy","writer,artist,sculptor,visual artist,performance artist,conceptual artist","Luciano Fabro","Luciano Fabro",,,,,,,,2002,2002,,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"['Milan']","['Milan:1959-2007']","Luciano Fabro"
"Ryan McGinley","Ramsey",1977,,,"male","United States of America","photographer","Ryan McGinley","Ryan McGinley",,,,,,,,2013,2013,,,,,,,,,,"['New York City']","[]","Ryan Mcginley"
"Isaac Julien","London",1960,,,"male","United Kingdom","artist,filmmaker,university teacher,film director,film producer,visual artist,director,installation artist","Isaac Julien","Isaac Julien",,,,,,,,2010,2013,,,,,,,,,,"[]","[]","Isaac Julien"
"Zhang Huan","Anyang",1965,"Hu Xian",1202,"male","People's Republic of China","photographer,artist,painter,sculptor,scenographer,theatrical director,performance artist,printmaker,physician,gentry,teacher,politician,rower","Zhang Huan","Zhang Huan",,,,,,,,1994,1999,,,,,,,,,,"['New York City']","[]","Zhang Huan"
"Ross Bleckner","New York City",1949,,,"male","United States of America","artist,painter","Ross Bleckner","Ross Bleckner",,,,,,,,1993,1994,,,,,,,,,,"[]","[]","Ross Bleckner"
"Mimmo Paladino","Paduli",1948,,,"male","Italy","illustrator,painter,sculptor,jewelry designer,film director,scenographer,production designer,drawer","Mimmo Paladino","Mimmo Paladino",,,,,,,"{Contemporary art:3}",1985,2014,,"Italy","{Italy:1}",,,,,,,"[]","[]","Mimmo Paladino"
"Nandalal Bose","Tarapur",1882,"Shantiniketan",1966,"male","India","writer,painter,printmaker","Nandalal Bose","Nandalal Bose","Indian",,,,,,,1930,1952,,,,"Bengal School","Artists2/Nandalal Bose/Yudhisthira And His Dog Ascending 1913.jpg,",,,,,"[]","[]","Nandalal Bose"
"Huang Yong Ping","Xiamen",1954,"13th arrondissement of Paris",2019,"male","France","performing artist,painter,sculptor,drawer,installation artist","Huang Yong Ping","Huang Yong Ping",,,,,,,,1982,2013,,,,,,,,,,"[]","[]","Huang Yong Ping"
